actor/actor_loss,actor/bc_flow_loss,critic/critic_loss,critic/q_mean,critic/q_max,critic/q_min,total_loss,step
0.16755396127700806,0.16755396127700806,0.0,0.0,0.0,0.0,0.16755396127700806,5000
0.16938041150569916,0.16938041150569916,0.0,0.0,0.0,0.0,0.16938041150569916,10000
0.14478997886180878,0.14478997886180878,0.0,0.0,0.0,0.0,0.14478997886180878,15000
0.13378894329071045,0.13378894329071045,0.0,0.0,0.0,0.0,0.13378894329071045,20000
0.14546506106853485,0.14546506106853485,0.0,0.0,0.0,0.0,0.14546506106853485,25000
0.12209686636924744,0.12209686636924744,0.0,0.0,0.0,0.0,0.12209686636924744,30000
0.12653005123138428,0.12653005123138428,0.0,0.0,0.0,0.0,0.12653005123138428,35000
0.11930403113365173,0.11930403113365173,0.0,0.0,0.0,0.0,0.11930403113365173,40000
0.13494844734668732,0.13494844734668732,0.0,0.0,0.0,0.0,0.13494844734668732,45000
0.11839856952428818,0.11839856952428818,0.0,0.0,0.0,0.0,0.11839856952428818,50000
0.1463720202445984,0.1463720202445984,0.0,0.0,0.0,0.0,0.1463720202445984,55000
0.12636716663837433,0.12636716663837433,0.0,0.0,0.0,0.0,0.12636716663837433,60000
0.10914994031190872,0.10914994031190872,0.0,0.0,0.0,0.0,0.10914994031190872,65000
0.1318165510892868,0.1318165510892868,0.0,0.0,0.0,0.0,0.1318165510892868,70000
0.12210080027580261,0.12210080027580261,0.0,0.0,0.0,0.0,0.12210080027580261,75000
0.12195231765508652,0.12195231765508652,0.0,0.0,0.0,0.0,0.12195231765508652,80000
0.1166759803891182,0.1166759803891182,0.0,0.0,0.0,0.0,0.1166759803891182,85000
0.11610359698534012,0.11610359698534012,0.0,0.0,0.0,0.0,0.11610359698534012,90000
0.10623662918806076,0.10623662918806076,0.0,0.0,0.0,0.0,0.10623662918806076,95000
0.08720565587282181,0.08720565587282181,0.0,0.0,0.0,0.0,0.08720565587282181,100000
0.10633121430873871,0.10633121430873871,0.0,0.0,0.0,0.0,0.10633121430873871,105000
0.09921356290578842,0.09921356290578842,0.0,0.0,0.0,0.0,0.09921356290578842,110000
0.1003667563199997,0.1003667563199997,0.0,0.0,0.0,0.0,0.1003667563199997,115000
0.08684267848730087,0.08684267848730087,0.0,0.0,0.0,0.0,0.08684267848730087,120000
0.08670921623706818,0.08670921623706818,0.0,0.0,0.0,0.0,0.08670921623706818,125000
